129142	305708	1615428	3179967	4251258	2892978	2848381	3355031	1892151	3453722	827489	2782633	3556766	2187535	2642329	2257968	3153475	137290	713987	1573363	3679962	1956462	1765010	582845	1010052	1668339	3035038	2436445	4058795	2636120	2978313	1630470	1616774	711004	1313710	1273318	1573446	2605249	2986612	2757427	
4229760	4251258	4255175	4276877	129142	137290	141638	305708	537940	594662	713987	727342	908189	1253552	1292208	1357557	1474081	1537072	1573363	1782898	1972989	1975280	2257968	2412144	2532654	2546197	2907978	2952857	3153475	3179967	3612619	3679962	4050992	3088474	3868384	4214145	1061061	1769193	1875219	2213516	
4229760	4251258	4255175	4276877	137290	141638	305708	537940	594662	713987	727342	908189	1253552	1292208	1357557	1474081	1537072	1573363	1782898	1972989	1975280	2257968	2412144	2532654	2546197	2907978	2952857	3153475	3179967	3612619	3679962	4050992	3088474	3868384	4214145	1061061	1769193	1875219	2213516	2236043	
4229760	4251258	4255175	4276877	137290	141638	305708	537940	594662	713987	908189	1253552	1292208	1357557	1474081	1537072	1573363	1782898	1972989	1975280	2257968	2412144	2532654	2546197	2907978	2952857	3153475	3179967	3612619	3679962	4050992	3088474	3868384	4214145	1061061	1769193	1875219	2213516	2236043	3049672	
4229760	4251258	4255175	4276877	137290	141638	305708	537940	594662	908189	1253552	1292208	1357557	1474081	1537072	1573363	1782898	1972989	1975280	2257968	2412144	2532654	2546197	2907978	2952857	3153475	3179967	3612619	3679962	4050992	3088474	3868384	4214145	1061061	1769193	1875219	2213516	2236043	3049672	3437562	
129142	305708	3179967	4251258	2848381	2892978	3355031	1892151	1615428	2257968	3153475	137290	713987	1573363	3679962	1956462	2978313	4058795	1630470	1616774	1765010	1668339	3035038	2636120	582845	1010052	2436445	1313710	3453722	711004	1273318	1573446	2605249	2986612	2757427	827489	2187535	2606724	2782633	3556766	
4229760	4251258	4255175	4276877	129142	137290	141638	305708	537940	594662	713987	727342	908189	1253552	1292208	1357557	1474081	1537072	1573363	1782898	1972989	1975280	2257968	2412144	2532654	2546197	2907978	2952857	3153475	3179967	3612619	3679962	4050992	4214145	1769193	2213516	2236043	3088474	3437562	3801333	
4229760	4251258	4255175	4276877	137290	141638	305708	537940	594662	713987	727342	908189	1253552	1292208	1357557	1474081	1537072	1573363	1782898	1972989	1975280	2257968	2412144	2532654	2546197	2907978	2952857	3153475	3179967	3612619	3679962	4050992	4214145	1769193	2213516	2236043	3088474	3437562	3801333	3868384	
4229760	4251258	4255175	4276877	137290	141638	305708	537940	594662	713987	908189	1253552	1292208	1357557	1474081	1537072	1573363	1782898	1972989	1975280	2257968	2412144	2532654	2546197	2907978	2952857	3153475	3179967	3612619	3679962	4050992	4214145	1769193	2213516	2236043	3088474	3437562	3801333	3868384	3137193	
4229760	4251258	4255175	4276877	137290	141638	305708	537940	594662	908189	1253552	1292208	1357557	1474081	1537072	1573363	1782898	1972989	1975280	2257968	2412144	2532654	2546197	2907978	2952857	3153475	3179967	3612619	3679962	4050992	4214145	1769193	2213516	2236043	3088474	3437562	3801333	3868384	3137193	43945	
1054798	142755	3301058	3572300	1256716	4050608	3103793	2427556	3002016	1509585	3910418	927533	2388582	301083	333214	929262	1195858	3686231	2338323	2163746	3336217	2316475	256446	410460	460019	650501	1084422	1469693	1525835	1646880	1895802	3290772	3345822	964897	2622784	2774312	3025907	331188	1258106	2195586	
142755	301083	333214	601958	702877	763168	927533	929262	1195858	1196784	1214144	1658495	2478763	3084332	3147936	3679060	3788664	4031583	942688	3282311	426104	1578080	1654539	2075366	2388582	2789850	3243393	3686231	3787760	3834132	4020732	505878	10689	15552	54702	92912	122976	234643	235622	239638	
142755	301083	333214	601958	702877	763168	927533	929262	1195858	1196784	1214144	1658495	2478763	3084332	3147936	3282311	3679060	3788664	4031583	426104	1578080	1654539	2075366	2388582	2789850	3243393	3686231	3787760	3834132	4020732	505878	10689	15552	54702	92912	122976	159650	234643	235622	239638	
142755	301083	333214	601958	702877	927533	929262	1195858	1196784	1214144	1658495	2478763	3084332	3147936	3282311	3679060	3788664	4031583	426104	1578080	1654539	2075366	2388582	2789850	3243393	3686231	3787760	3834132	4020732	505878	10689	15552	54702	92912	122976	159650	234643	235622	239638	286560	
142755	301083	333214	426104	601958	702877	927533	929262	1195858	1196784	1214144	1654539	1658495	2075366	2388582	2478763	2789850	3084332	3147936	3243393	3282311	3679060	3686231	3787760	3788664	3834132	4020732	4031583	505878	10689	15552	54702	4280305	92912	122976	159650	234643	235622	239638	247589	
900515	1675798	1823499	4216890	2861983	3648782	4124851	310598	1337908	2452606	4138864	194149	178907	2103494	3544720	404386	2049525	3860127	4082553	1338656	776463	2110424	2914578	2976855	2804235	2561058	3224331	3756394	3832895	1654122	515625	2056221	2555833	3002997	3974767	1538029	3171437	12813	1134140	368111	
194149	178907	2103494	900515	1675798	404386	2049525	3860127	4082553	1338656	776463	2110424	2914578	2976855	2804235	12813	368111	483636	832249	916920	1016303	1082465	1084887	1157660	1823499	1877335	2409972	2834429	3379793	3950710	4033494	4294513	138121	224483	734906	1269393	1277973	1369238	1608590	1882622	
178907	2049525	2103494	3860127	194149	776463	900515	1675798	2110424	2914578	2976855	404386	1338656	2804235	12813	15192	4209969	4216890	4222684	30190	4252794	4260751	83274	4284091	4292945	4294513	138121	160513	199648	204020	222316	224483	241641	259119	261114	263760	265742	277658	290879	302478	
178907	194149	2049525	2103494	3860127	404386	776463	900515	1338656	1675798	2110424	2804235	2914578	2976855	12813	15192	4209969	4216890	4222684	30190	4252794	4255164	4260751	83274	4284091	4292945	4294513	122404	138121	160513	166055	189972	199648	202675	204020	222316	224483	241641	259119	261114	
178907	194149	1237843	2049525	2103494	3261762	3860127	3991784	404386	776463	900515	1338656	1675798	1867182	2110424	2193744	2561058	2804235	2914578	2976855	3544720	12813	15192	4209969	4216890	4217761	4222684	30190	4238265	4243338	4252794	4255164	4260751	83274	4284091	4292945	4294513	122404	138121	139058	
2204287	2874970	3616915	4278444	4195634	54195	375214	502366	1071564	1105377	1115891	1575649	1608824	3408291	3412628	3876353	3967648	4031047	657463	3537525	4102980	4281270	1185032	3152933	4201485	181391	182013	548503	787295	789419	892058	1273624	1345394	1808159	1936330	2522443	3802221	4132103	4233252	2161469	
2204287	2874970	3616915	4278444	4195634	54195	375214	502366	1071564	1105377	1115891	1185032	1575649	1608824	3408291	3412628	3876353	3967648	4031047	657463	3152933	3537525	4102980	4201485	181391	182013	548503	787295	789419	892058	1273624	1345394	1808159	1936330	2522443	3802221	4132103	4233252	2161469	4201637	
4195634	54195	375214	502366	1071564	1115891	1185032	1575649	1608824	2204287	2874970	3408291	3412628	3616915	3876353	3967648	4031047	4278444	657463	3152933	3537525	4102980	4201485	4201637	32746	44411	156557	166267	181391	182013	200750	248209	320068	344768	548503	754306	776732	787295	789419	892058	
