45482	2913043	2858242	4055946	2638605	1841506	611313	1868801	2541560	3104108	3617892	1023263	1814271	3045322	3056721	3112594	1589112	2500259	1701576	408457	499708	836168	868648	894625	1190194	1262212	1423851	1427532	1927255	3276407	4252909	202091	557546	1030349	1186078	1389621	1541185	1595615	3200166	3290045	
45482	611313	1841506	1868801	2541560	2638605	2858242	2913043	3104108	4055946	4252909	202091	408457	499708	557546	836168	868648	894625	1023263	1030349	1186078	1190194	1262212	1389621	1423851	1427532	1541185	1589112	1595615	1701576	1814271	1927255	2500259	3045322	3056721	3112594	3200166	3276407	3290045	3337097	
45482	4252909	202091	408457	499708	557546	611313	836168	868648	894625	1023263	1030349	1186078	1190194	1262212	1389621	1423851	1427532	1541185	1589112	1595615	1814271	1841506	1868801	1927255	2500259	2541560	2638605	2858242	2913043	3045322	3056721	3104108	3112594	3200166	3276407	3290045	3337097	3791432	3851971	
45482	4252909	202091	499708	557546	611313	836168	868648	894625	1023263	1030349	1186078	1190194	1262212	1389621	1423851	1427532	1541185	1589112	1595615	1814271	1841506	1868801	1927255	2500259	2541560	2638605	2858242	2913043	3045322	3056721	3104108	3112594	3200166	3276407	3290045	3337097	3791432	3851971	3963205	
45482	4252909	202091	499708	611313	836168	868648	894625	1023263	1030349	1186078	1190194	1262212	1389621	1423851	1427532	1541185	1589112	1595615	1814271	1841506	1868801	1927255	2500259	2541560	2638605	2858242	2913043	3045322	3056721	3104108	3112594	3200166	3276407	3290045	3337097	3791432	3851971	3963205	4055946	
878972	2259566	2990121	922461	3402822	3039369	3325925	2918074	966377	1483801	1092724	1199434	3470854	1170345	3277285	531040	714797	539846	305572	13974	1692543	573005	1536198	957971	2592336	2698927	3667560	523614	174050	410512	341866	566320	3387792	2656939	1296207	2454395	3365993	422760	3699067	2774971	
457027	209387	465843	1750779	2402257	2454395	2990121	3429641	3560246	416672	3734452	4175862	1296207	3365993	3616321	2986062	422760	2165343	3699067	3296173	3969488	4040035	4144933	4197982	244843	415057	445594	583807	1130208	1151062	1194716	1301058	1360831	2800625	3389118	64075	193274	380875	839035	1053797	
457027	460038	1618939	1750779	1789214	1868626	2402257	3969488	4040035	4144933	4197982	244843	415057	445594	475381	491313	583807	922461	1130208	1151062	1194716	1301058	1360831	1428391	1889890	2800625	2936831	3389118	3423803	4146008	4150282	4204112	4233107	64075	156750	193274	209387	351885	380875	448509	
4197982	4204112	4233107	64075	156750	193274	209387	244843	351885	380875	415057	445594	448509	457027	460038	465843	475381	491313	548056	583807	707219	756135	839035	849416	860855	910448	922461	1053797	1130208	1151062	1153479	1194716	1245162	1249605	1301058	1302034	1309610	1360831	1397246	1420781	
4197982	4204112	4233107	64075	156750	193274	209387	244843	351885	380875	415057	445594	448509	457027	460038	465843	475381	491313	548056	583807	707219	756135	839035	849416	860855	910448	922461	1053797	1151062	1153479	1194716	1245162	1249605	1301058	1302034	1309610	1360831	1397246	1420781	1425758	
3920212	3078913	1428391	2258901	3238811	1093004	1889890	2954446	3277846	3385084	3468716	3656639	244843	377719	415057	1057968	1129624	1151062	2275067	2683902	3529362	3734969	553675	620876	960394	1153479	1973192	2578494	3638151	3713974	4085205	4197134	334958	852040	1397382	1432302	1794516	1821431	1929471	1966459	
